code,country,age_midage,age_old,age_veryold,age_veryyoung,age_young,code_numeric,education,fhpolrigaug,laborshare,lpop,lrgdpch,medage,nsave,polity4,socialist,year,year_numeric,sample,worldincome,worlddemocracy,samplebalancefe,samplebalancegmm
ADO,Andorra,,,,,,1,,,,,,,,,0,1960,33,1,,,,
AFG,Afghanistan,0.1646275,0.0961902,0.0453596,0.4300209,0.2638018,2,1.095,0.14,,9.211939,,18.4,,0,0,1960,33,1,,,,
ARG,Argentina,0.2108659,0.1513946,0.0882367,0.3077371,0.2417657,6,4.988,0.63,0.2713755,9.933823,8.905374,26.8,0.2347924,0.45,0,1960,33,1,3.002038,0.0879677,0,0
AUS,Australia,0.21047,0.1621096,0.1225066,0.3009633,0.2039506,9,9.43,1,0.5176172,9.237469,9.277876,29.6,0.263073,1,0,1960,33,1,6.352744,0.1995102,0,0
AUT,Austria,0.1824631,0.2094211,0.1799092,0.2211975,0.2070091,10,6.708,0.97,0.4775884,8.860499,8.900677,35.4,0.2800926,1,0,1960,33,1,12.50198,0.3109175,0,0
BEL,Belgium,0.1974877,0.2010923,0.1761879,0.2352813,0.1899509,15,7.46,1,0.504463,9.118115,8.95908,35.2,0.2159343,1,0,1960,33,1,,,0,0
BOL,Bolivia,0.1602985,0.1008955,0.0549254,0.4274627,0.2564179,25,4.223,0.6,,8.117014,7.763807,18.7,0.1301476,0.35,0,1960,33,1,7.094214,0.2149728,0,0
BRA,Brazil,0.1647214,0.0960669,0.0532162,0.4327408,0.2532547,26,2.827,0.91,0.2570271,11.19467,7.771254,18.6,0.1961983,0.8,0,1960,33,1,4.274393,0.1169797,0,0
BTN,Bhutan,0.1743649,0.1039261,0.0554273,0.4006929,0.2655889,29,,,,5.895779,,20,,0.1,0,1960,33,1,,,,
CAN,Canada,0.2022447,0.1416048,0.1069853,0.335418,0.2137473,32,8.368,1,0.5004504,9.793058,9.247975,26.4,0.2176925,1,0,1960,33,1,12.09084,0.3925237,0,0
CHE,Switzerland,0.1995524,0.1864976,0.1490116,0.2362924,0.228646,33,7.3,1,,8.587092,9.614354,32.5,0.2989548,1,0,1960,33,1,15.24599,0.4204013,0,0
CHL,Chile,0.1705009,0.1166031,0.0747995,0.3922703,0.2458262,34,4.991,1,0.247961,8.936955,8.256587,20.8,0.1516866,0.75,0,1960,33,1,9.816665,0.2932521,0,0
CHN,China,0.1799097,0.1210222,0.0722672,0.3890502,0.2377508,35,,0.23,,13.41065,6.524397,21.8,0.3269289,0.1,0,1960,33,1,4.538635,0.1405474,0,0
COL,Colombia,0.1510262,0.095385,0.0502432,0.4629849,0.2403607,39,2.967,0.7,0.253684,9.732521,7.83598,16.9,0.2013348,0.85,0,1960,33,1,5.235963,0.1601042,0,0
CRI,Costa Rica,0.1529235,0.1041979,0.071964,0.4482759,0.2226387,42,3.856,0.91,0.2669897,7.065613,8.153575,18,0.1273898,1,0,1960,33,1,15.79762,0.4869368,0,0
CUB,Cuba,0.1813887,0.1415891,0.0795991,0.3425913,0.2548318,43,,0.14,,8.851521,,23.4,,,0,1960,33,1,2.255881,0.0551757,,
DEU,Germany,0.1773584,0.2126955,0.1727301,0.2127505,0.2244654,47,,,,11.19374,,34.7,,,0,1960,33,1,9.720769,0.323632,,
DEU_W,"Germany, West",,,,,,49,8.278,0.88,,,,,,1,0,1960,33,1,9.720769,0.323632,,
DNK,Denmark,0.1958088,0.1868588,0.1547697,0.2523466,0.2102161,52,8.947,1,0.5752713,8.429672,9.304565,33,0.2573486,1,0,1960,33,1,12.68515,0.3819474,0,0
DOM,Dominican Republic,0.1472772,0.0850866,0.0485767,0.4665841,0.2524753,53,2.375,0.21,0.5106381,8.080547,7.435221,16.7,0.1939323,0.05,0,1960,33,1,11.11551,0.3583474,0,0
ECU,Ecuador,0.1523209,0.0993691,0.0700766,0.4344299,0.2438035,55,2.952,0.84,0.2901879,8.398185,7.602719,18.5,0.1358512,0.6,0,1960,33,1,8.982055,0.2848285,0,0
EGY,"Egypt, Arab Rep.",0.1699353,0.1032328,0.0547773,0.424569,0.2474856,56,,0.37,0.4842565,10.16285,7.298231,19.1,0.1272864,0.15,0,1960,33,1,8.124071,0.2398908,0,0
ESP,Spain,0.2099888,0.1597491,0.1233007,0.2742825,0.2326788,58,3.642,0.11,0.4464621,10.32401,8.441745,29.6,0.2318449,0.15,0,1960,33,1,6.821595,0.1927438,0,0
ETH_1,Ethiopia -pre 1993,0.1595361,0.0897494,0.0415407,0.443363,0.2658107,61,,0.31,,10.09374,6.266719,,0.1322893,0.05,0,1960,33,1,4.610221,0.1365908,,
FIN,Finland,0.1934537,0.1715576,0.1115124,0.3040632,0.2194131,63,5.373,0.97,0.5077482,8.396154,8.921469,28.2,0.2958824,1,0,1960,33,1,9.536825,0.2929214,0,0
FRA,France,0.1869801,0.187396,0.1680019,0.2637028,0.1939191,65,5.778,0.9,,10.7295,8.965018,33,0.2592207,0.75,0,1960,33,1,8.100029,0.2219687,0,0
GBR,United Kingdom,0.2007679,0.2021834,0.1686574,0.2325875,0.1958039,67,7.667,0.99,0.5269871,10.86615,9.177211,35.4,0.1768277,1,0,1960,33,1,9.865674,0.2970363,0,0
GRC,Greece,0.201008,0.1624865,0.1206048,0.2650906,0.25081,75,4.643,0.88,0.3593356,9.027259,8.334816,29.1,0.1386191,0.7,0,1960,33,1,8.635465,0.2260736,0,0
GTM,Guatemala,0.1566995,0.0812516,0.0436538,0.4605097,0.2578854,77,1.43,0.7,,8.284757,7.759642,17,0.084036,0.25,0,1960,33,1,7.605792,0.2320673,0,0
HND,Honduras,0.1494192,0.0828933,0.0390708,0.4651531,0.2634636,79,1.686,0.7,0.3080072,7.546446,7.438536,16.7,0.1225979,0.45,0,1960,33,1,12.45422,0.3962308,0,0
HTI,Haiti,0.1651328,0.1178017,0.0780962,0.3941625,0.2448067,81,0.696,0.35,,8.243809,,20.8,0.0770541,0.1,0,1960,33,1,12.11921,0.3988265,,
IDN,Indonesia,0.1700511,0.1024393,0.0523611,0.3998749,0.2752737,83,1.107,0.2,,11.45101,6.841697,20,0.1237409,0.25,0,1960,33,1,9.955687,0.3293325,0,0
IND,India,0.1772387,0.10754,0.0567563,0.3977059,0.2607591,84,1.446,0.94,0.4746312,12.98275,6.74189,20.4,0.1244901,0.95,0,1960,33,1,2.506791,0.070475,0,0
IRL,Ireland,0.1739591,0.1658433,0.1580805,0.310868,0.1912491,85,6.455,0.95,0.511867,7.948739,8.544048,29.8,0.0795628,1,0,1960,33,1,23.48112,0.7580876,0,0
