code,country,consfirstaug,indcent,indyear,logem4,lpd1500s,madid,rel_catho80,rel_muslim80,rel_protmg80,growth,democ,world,colony
AFG,Afghanistan,0,19.19,1919,4.540098,2.120264,3002,0,0.993,0,-0.0848947,0.15,1,1
AGO,Angola,0.3333333,19.75,1975,5.634789,0.4054651,2011,0.687,0,0.198,0.6444693,0.35,1,1
ARG,Argentina,0,18.16,1816,4.232656,-2.210722,5001,0.916,0.002,0.027,2.713703,0.9,1,1
ATG,Antigua,,19.81,1981,,0.3784365,5001,,,,2.297351,,1,1
AUS,Australia,1,19.01,1901,2.145931,-3.648357,1009,0.296,0.002,0.235,3.986219,1,1,1
BDI,Burundi,0.1481481,19.62,1962,5.634789,3.218876,2011,0.7830001,0.009,0.049,0.3280602,0.45,1,1
BEN,Benin,0.125,19.6,1960,5.585449,1.442202,2011,0.185,0.152,0.028,1.161583,0.8,1,1
BFA,Burkina Faso,0.2,19.6,1960,5.634789,1.442202,2011,0.09,0.43,0.016,0.722393,0.35,1,1
BGD,Bangladesh,0.3148148,19.71,1971,4.268438,3.165475,3002,0.002,0.859,0.002,0.4302096,0.8,1,1
BHS,Bahamas,,19.73,1973,4.442651,0.3784365,5001,0.255,0,0.472,2.297351,,1,1
BLZ,Belize,,19.81,1981,5.095589,0.4317824,5001,0.668,0,0.132,2.297351,,1,1
BOL,Bolivia,0.3333333,18.25,1825,4.26268,-0.1863689,5001,0.925,0,0.023,1.51428,0.95,1,1
BRA,Brazil,0,18.22,1822,4.26268,-2.134937,1020,0.878,0.001,0.04,2.631244,0.9,1,1
BRB,Barbados,,19.66,1966,4.442651,0.3784364,5001,0.059,0.002,0.332,2.297351,,1,1
BRN,Brunei,,19.84,1984,,,3002,,,,1.543368,,1,1
BTN,Bhutan,0,19.07,1907,,,3002,0,0.05,0,1.543368,0.1,1,1
BWA,Botswana,0.6666667,19.66,1966,,-1.966113,2011,0.094,0,0.268,2.351604,0.95,1,1
CAF,Central African Republic,0,19.6,1960,5.634789,0.4054651,2011,0.331,0.032,0.5,0.4462757,0.75,1,1
CAN,Canada,1,18.67,1867,2.778819,-3.830918,1027,0.466,0.006,0.296,4.016289,1,1,1
CHL,Chile,0,18.1,1810,4.232656,-0.2215423,5001,0.821,0,0.019,2.855033,0.95,1,1
CIV,Cote d'Ivoire,0,19.6,1960,6.504288,1.442202,2011,0.185,0.24,0.047,1.164257,0.7,1,1
CMR,Cameroon,0.3333333,19.6,1960,5.634789,0.4054651,2011,0.35,0.22,0.181,0.9904609,0.3,1,1
COG,"Congo, Rep.",0.3833333,19.6,1960,5.480639,0.4054651,2011,0.539,0.004,0.249,1.676822,0.2,1,1
COL,Colombia,0.3333333,18.1,1810,4.26268,-0.0379699,5001,0.966,0.002,0.009,2.196941,0.85,1,1
COM,Comoros,0.3166667,19.75,1975,,1.500584,2011,0.001,0.997,0.001,0.3387346,0.45,1,1
CPV,Cape Verde,,19.75,1975,,-0.6931472,2011,0.959,0,0.03,1.456554,,1,1
CRI,Costa Rica,0.3333333,18.21,1821,4.35799,0.4317824,5001,0.905,0,0.058,2.388829,1,1,1
CUB,Cuba,0.3333333,19.02,1902,,-0.7985078,5001,0.32,0,0.008,1.449782,0.15,1,1
DJI,Djibouti,0.1666667,19.77,1977,3.258096,,2011,0.067,0.906,0.002,0.9795089,0.6,1,1
DMA,Dominica,,19.78,1978,,0.3784365,5001,,,,2.297351,,1,1
